path,relpath,filename,class,part,md5,dhash,width,height,broken,exclude,exclude_reason,group,split
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550374-2 10х.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550374-2 10х.JPG,2550374-2 10х.JPG,talc,ch1,1f0cf673a719e5de360f00df577bbd5c,0db201b7832d031d0a1934d990dd02d105b508b389308c71b23ad49d1499b65c,2272,1704,False,False,,sample:2550374,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550375-1 10х.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550375-1 10х.JPG,2550375-1 10х.JPG,talc,ch1,2e6adc69b5e588ea605c039a0a233c88,596c9c7cad353c39705b61cf87a70d9e0d0d899d899e2316863cce994b196399,2272,1704,False,False,,sample:2550375,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550375-3 5х.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550375-3 5х.JPG,2550375-3 5х.JPG,talc,ch1,bc49b3d0ed86e445c0b5d3c69f31989c,4b32d7348519b599b3874b124326832d030a934f12cf12cf08cfb0568066093b,2272,1704,False,False,,sample:2550375,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550376-1 5x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550376-1 5x.JPG,2550376-1 5x.JPG,talc,ch1,2e094ea9c14d6f66453b7e49f6e4dac1,4d4e315720e6e86fc1cfc0c6c0de40be223b247d275c075ec2dc130a070e871c,2272,1704,False,False,,sample:2550376,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550376-2 10x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550376-2 10x.JPG,2550376-2 10x.JPG,talc,ch1,966dac542017bed4df0e3a08a5f5edbc,6675222f44bd458d259322570c5d8197134f236e995c1c190c3689e68366a772,2272,1704,False,True,md5-conflict-cross-class,sample:2550376,
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550377-1 5x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550377-1 5x.JPG,2550377-1 5x.JPG,talc,ch1,e7fb31cf44984aa71824d1d452c7de57,045b0ccd0536113b081b2c9b22341277016a086700c724ce08f319ef09ee0bf4,2272,1704,False,False,,sample:2550377,val
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550378-1 5x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550378-1 5x.JPG,2550378-1 5x.JPG,talc,ch1,b90cba19641f0fe39aa230354ad7604e,1f380c482e4ca71e67386671837ac3ad00ee186ab036323b6d1f489d4c1c0d2c,2272,1704,False,False,,sample:2550378,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550381-1 10x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550381-1 10x.JPG,2550381-1 10x.JPG,talc,ch1,c02ef4c6227714b208491bf7d7421df1,1ca794ad9cab4993909b991d8d2e9b3e066fc66da49e02d911c388d78256009a,2272,1704,False,False,,sample:2550381,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550381-2 10x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550381-2 10x.JPG,2550381-2 10x.JPG,talc,ch1,bb4c5a39842113388cb840fcbbcb5cf1,868d264d658e049f040d672f053e1e1c0e9c1c8c5e960d528d4a9032c13ac88b,2272,1704,False,False,,sample:2550381,train
"C:\Users\user\Documents\my_project\data\Задача 3. Скажи мне, кто твой шлиф\Фото руд по сортам. ч1\Оталькованные руды\2550382-1 10x.JPG",Фото руд по сортам. ч1\Оталькованные руды\2550382-1 10x.JPG,2550382-1 10x.JPG,talc,ch1,8b1b838929066d4de6e213951b59ab1b,4889c19438ae3364678f26eda676003b27190356119c099c1719106ab055203c,2272,1704,False,False,,sample:2550382,train
